Data info
File name: C:\DEWESoft7\Data\Test_kastor_choco_2.d7d
Start time: 20/01/1980 07:28:21.614
Number of channels: 3
Sample rate: 5000
Store type: Toujours rapide


Data1

Time [s]	AI 0 [V]	AI 1 [V]	AI 2 [V]	
0	0,92311835	1,579587	1,6244364
0,0002	0,92316723	1,5789552	1,6247737
0,0004	0,92319107	1,5784104	1,6248178
0,0006	0,92304444	1,5780277	1,6247523
0,0008	0,92305279	1,5776927	1,6243446
0,001	0,92301345	1,5775461	1,6240418
0,0012	0,92299199	1,5776641	1,6237831
0,0014	0,92306232	1,5777488	1,6236579
0,0016	0,92300034	1,5775676	1,6233194
0,0018	0,92334843	1,5773816	1,6231918
0,002	0,92327571	1,5772362	1,6230512
0,0022	0,92259741	1,5774806	1,6232252
0,0024	0,92215395	1,5779979	1,6232741
0,0026	0,92164254	1,5784855	1,623528
0,0028	0,92104173	1,5790219	1,6237783
0,003	0,92088795	1,5794606	1,6239989
0,0032	0,92115498	1,5799136	1,6242003
0,0034	0,92159128	1,5803738	1,6242516
0,0036	0,92185831	1,5808291	1,623863
0,0038	0,92210388	1,5813143	1,6232121
0,004	0,92236137	1,5817173	1,6228771
0,0042	0,92257357	1,5822418	1,6225982
0,0044	0,92265582	1,5828903	1,6223741
0,0046	0,92297649	1,5834076	1,6220713
0,0048	0,92379785	1,5835173	1,6218591
0,005	0,92459178	1,5834613	1,6215563
0,0052	0,92528677	1,5835245	1,621418
0,0054	0,92574573	1,583534	1,6211629
0,0056	0,92627621	1,583683	1,6208804
0,0058	0,92667079	1,5840025	1,620512
0,006	0,92717147	1,5843148	1,6203415
0,0062	0,92743373	1,5844066	1,6206169
0,0064	0,92775798	1,5843732	1,6207182
0,0066	0,92815971	1,5843041	1,6210294
0,0068	0,92862582	1,5837104	1,6212773
0,007	0,92891431	1,5829737	1,6214883
0,0072	0,9288559	1,5825696	1,6216147
0,0074	0,92858648	1,5825601	1,6217685
0,0076	0,92814541	1,5827949	1,6217971
0,0078	0,92734194	1,5828235	1,6217446
0,008	0,92645621	1,582684	1,6218758
0,0082	0,92560744	1,5823824	1,6221809
0,0084	0,92482066	1,5823228	1,6226578
0,0086	0,92400289	1,5821047	1,6228187
0,0088	0,92318988	1,581908	1,6230011
0,009	0,92268324	1,58184	1,6234994
0,0092	0,92224097	1,5818281	1,623745
0,0094	0,92162466	1,5819366	1,6241169
0,0096	0,92135286	1,5822227	1,6242754
0,0098	0,92162585	1,582274	1,6244531
0,01	0,92185831	1,581883	1,6247797
0,0102	0,92213964	1,5813918	1,6250312
0,0104	0,92238879	1,5810342	1,6252387
0,0106	0,92255926	1,580735	1,6254747
0,0108	0,92279172	1,5804381	1,6257846
0,011	0,92275834	1,5799899	1,6260219
0,0112	0,92285013	1,5795047	1,6262686
0,0114	0,9227345	1,5790458	1,6268039
0,0116	0,92264032	1,5786357	1,6272926
0,0118	0,9226594	1,5781791	1,6275132
0,012	0,92274404	1,5776188	1,6276002
0,0122	0,92255807	1,5773494	1,627388
0,0124	0,92228866	1,5775115	1,6272533
0,0126	0,92245913	1,5781887	1,6269898
0,0128	0,92247939	1,5787156	1,6265178
0,013	0,92262959	1,5791292	1,6257846
0,0132	0,92285371	1,5795321	1,6250384
0,0134	0,92312193	1,579761	1,6244805
0,0136	0,92336869	1,5802498	1,6240859
0,0138	0,92351532	1,5805621	1,6235876
0,014	0,92362976	1,5809686	1,623224
0,0142	0,92369294	1,5812833	1,6227531
0,0144	0,92381811	1,5816159	1,6222441
0,0146	0,92365956	1,5821643	1,6219664
0,0148	0,92384672	1,582777	1,6216028
0,015	0,92460012	1,5831633	1,6211617
0,0152	0,92517829	1,5830631	1,6210055
0,0154	0,9256289	1,5830357	1,6207993
0,0156	0,92606878	1,5830715	1,6204977
0,0158	0,92643476	1,5830965	1,6203165
0,016	0,92685199	1,5832884	1,6200221
0,0162	0,92737055	1,5834279	1,6196561
0,0164	0,92773056	1,5834041	1,6193569
0,0166	0,92822766	1,5833719	1,6189241
0,0168	0,92861152	1,5834315	1,6185725
0,017	0,92868066	1,5833957	1,6180193
0,0172	0,92857575	1,5834982	1,6174531
0,0174	0,92808223	1,5833981	1,6175187
0,0176	0,9269557	1,5836592	1,6180336
0,0178	0,92606282	1,5842826	1,6188323
0,018	0,92509842	1,5844924	1,619395
0,0182	0,92459178	1,5842922	1,6200089
0,0184	0,92386222	1,5839202	1,62058
0,0186	0,92336869	1,5835412	1,6210926
