Position,Hauteur,Debit,Vitesse
-19.9575,6.71546,23.659,3.52306
-19.9225,6.71262,23.672,3.52649
-19.8876,6.70369,23.7129,3.53728
-19.8526,6.69851,23.7365,3.54356
-19.8176,6.69322,23.7607,3.54996
-19.7826,6.68829,23.7831,3.55593
-19.7476,6.68336,23.8055,3.5619
-19.7126,6.67848,23.8276,3.56782
-19.6777,6.6736,23.8497,3.57373
-19.6427,6.66872,23.8717,3.57966
-19.6077,6.66383,23.8937,3.58559
-19.5727,6.65892,23.9158,3.59154
-19.5377,6.65401,23.9378,3.5975
-19.5027,6.64908,23.9599,3.60349
-19.4678,6.64414,23.982,3.60949
-19.4328,6.6392,24.004,3.6155
-19.3978,6.63425,24.026,3.62151
-19.3628,6.62931,24.048,3.62752
-19.3278,6.62439,24.0698,3.63352
-19.2929,6.61948,24.0915,3.63949
-19.2579,6.61459,24.1131,3.64545
-19.2229,6.60971,24.1346,3.65139
-19.1879,6.60484,24.156,3.65732
-19.1529,6.59998,24.1774,3.66325
-19.1179,6.59511,24.1987,3.66919
-19.083,6.59023,24.22,3.67514
-19.048,6.58535,24.2413,3.6811
-19.013,6.58047,24.2626,3.68706
-18.978,6.57558,24.2838,3.69302
-18.943,6.5707,24.305,3.69899
-18.908,6.56582,24.3261,3.70495
-18.8731,6.56095,24.3471,3.71091
-18.8381,6.55607,24.3681,3.71688
-18.8031,6.55119,24.3891,3.72285
-18.7681,6.54631,24.41,3.72882
-18.7331,6.54142,24.431,3.73481
-18.6982,6.53654,24.4518,3.74079
-18.6632,6.53166,24.4726,3.74677
-18.6282,6.5268,24.4933,3.75273
-18.5932,6.52196,24.5139,3.75866
-18.5582,6.51714,24.5343,3.76458
-18.5232,6.51233,24.5546,3.77048
-18.4883,6.50753,24.5749,3.77637
-18.4533,6.50273,24.5951,3.78227
-18.4183,6.49792,24.6153,3.78818
-18.3833,6.4931,24.6355,3.79411
-18.3483,6.48826,24.6558,3.80006
-18.3133,6.4834,24.676,3.80603
-18.2784,6.47853,24.6963,3.81203
-18.2434,6.47364,24.7166,3.81804
-18.2084,6.46874,24.737,3.82408
-18.1734,6.46383,24.7573,3.83012
-18.1384,6.45892,24.7775,3.83617
-18.1034,6.45402,24.7977,3.84221
-18.0685,6.44914,24.8178,3.84824
-18.0335,6.44427,24.8378,3.85424
-17.9985,6.43943,24.8576,3.86022
-17.9635,6.4346,24.8773,3.86618
-17.9285,6.42979,24.8969,3.87212
-17.8936,6.42498,24.9165,3.87806
-17.8586,6.42017,24.936,3.88401
-17.8236,6.41535,24.9555,3.88997
-17.7886,6.41053,24.975,3.89593
-17.7536,6.4057,24.9945,3.90191
-17.7186,6.40086,25.0139,3.9079
-17.6837,6.39603,25.0333,3.91389
-17.6487,6.39119,25.0527,3.91988
-17.6137,6.38635,25.0721,3.92588
-17.5787,6.38151,25.0913,3.93188
-17.5437,6.37668,25.1105,3.93787
-17.5087,6.37185,25.1297,3.94386
-17.4738,6.36703,25.1488,3.94985
-17.4388,6.36221,25.1678,3.95583
-17.4038,6.35741,25.1868,3.9618
-17.3688,6.3526,25.2057,3.96777
-17.3338,6.34779,25.2245,3.97374
-17.2989,6.34298,25.2433,3.97972
-17.2639,6.33817,25.2621,3.98571
-17.2289,6.33335,25.2809,3.99172
-17.1939,6.32852,25.2997,3.99773
-17.1589,6.32368,25.3185,4.00375
-17.1239,6.31883,25.3372,4.00979
-17.089,6.31398,25.3559,4.01584
-17.054,6.30913,25.3746,4.02189
-17.019,6.30429,25.3933,4.02794
-16.984,6.29945,25.4118,4.03396
-16.949,6.29464,25.4301,4.03996
-16.914,6.28985,25.4484,4.04594
-16.8791,6.2851,25.4665,4.05189
-16.8441,6.28037,25.4845,4.05781
-16.8091,6.27566,25.5024,4.0637
-16.7741,6.27096,25.5201,4.06957
-16.7391,6.26626,25.5377,4.07543
-16.7041,6.26155,25.5554,4.08132
-16.6692,6.25684,25.5732,4.08723
-16.6342,6.25211,25.591,4.09318
-16.5992,6.24734,25.6089,4.09916
-16.5642,6.24254,25.6266,4.10516
-16.5292,6.23772,25.6444,4.11117
-16.4943,6.2329,25.6622,4.11721
-16.4593,6.22808,25.6801,4.12328
-16.4243,6.22327,25.6981,4.12935
-16.3893,6.21845,25.7159,4.13542
-16.3543,6.21363,25.7336,4.14148
-16.3193,6.2088,25.751,4.1475
-16.2844,6.20399,25.7684,4.15351
-16.2494,6.19921,25.7858,4.15952
-16.2144,6.19448,25.8032,4.16552
-16.1794,6.18978,25.8206,4.17149
-16.1444,6.18509,25.8377,4.17741
-16.1094,6.1804,25.8543,4.18328
-16.0745,6.17571,25.8708,4.18912
-16.0395,6.17104,25.8874,4.19498
-16.0045,6.1664,25.9043,4.20088
-15.9695,6.16176,25.9213,4.2068
-15.9345,6.15711,25.9381,4.21271
-15.8996,6.15243,25.9545,4.21858
-15.8646,6.14775,25.9707,4.22443
-15.8296,6.14308,25.987,4.23029
-15.7946,6.13844,26.0035,4.23618
-15.7596,6.13383,26.0202,4.24209
-15.7246,6.12919,26.0367,4.24798
-15.6897,6.12453,26.0529,4.25386
-15.6547,6.11985,26.0688,4.25971
-15.6197,6.11517,26.0848,4.2656
-15.5847,6.11052,26.1012,4.27152
-15.5497,6.10588,26.1178,4.27748
-15.5147,6.10122,26.1342,4.28344
-15.4798,6.09652,26.1502,4.28936
-15.4448,6.0918,26.166,4.29528
-15.4098,6.08707,26.1818,4.30122
-15.3748,6.08238,26.198,4.3072
-15.3398,6.07771,26.2145,4.31321
-15.3048,6.07304,26.2307,4.31921
-15.2699,6.06834,26.2466,4.32518
-15.2349,6.06361,26.2622,4.33112
-15.1999,6.05887,26.2778,4.33708
-15.1649,6.05414,26.2938,4.34311
-15.1299,6.04939,26.3101,4.34921
-15.095,6.04463,26.3264,4.35534
-15.06,6.03983,26.3425,4.36146
-15.025,6.03501,26.3582,4.36755
-14.99,6.03022,26.3739,4.37362
-14.955,6.02548,26.3896,4.37966
-14.92,6.0208,26.4053,4.38567
-14.8851,6.01616,26.4208,4.39163
-14.8501,6.01155,26.436,4.39753
-14.8151,6.00693,26.4509,4.4034
-14.7801,6.0023,26.4658,4.40928
-14.7451,5.99766,26.481,4.41522
