Position,Hauteur,Debit,Vitesse
-19.965,7.41008,20.4301,2.75707
-19.8951,7.39837,20.4975,2.77054
-19.8252,7.38668,20.5646,2.78401
-19.7552,7.37499,20.6314,2.79748
-19.6853,7.36332,20.6979,2.81095
-19.6154,7.35165,20.7642,2.82442
-19.5455,7.33999,20.8301,2.8379
-19.4755,7.32835,20.8958,2.85137
-19.4056,7.31671,20.9612,2.86484
-19.3357,7.30508,21.0263,2.87831
-19.2657,7.29346,21.0911,2.89178
-19.1958,7.28185,21.1556,2.90525
-19.1259,7.27025,21.2198,2.91872
-19.0559,7.25866,21.2838,2.93219
-18.986,7.24707,21.3474,2.94566
-18.9161,7.2355,21.4108,2.95913
-18.8462,7.22393,21.4739,2.97261
-18.7762,7.21238,21.5367,2.98608
-18.7063,7.20083,21.5992,2.99955
-18.6364,7.1893,21.6615,3.01302
-18.5664,7.17777,21.7234,3.02649
-18.4965,7.16625,21.7851,3.03996
-18.4266,7.15474,21.8465,3.05343
-18.3566,7.14324,21.9076,3.0669
-18.2867,7.13175,21.9685,3.08037
-18.2168,7.12027,22.029,3.09384
-18.1469,7.1088,22.0893,3.10732
-18.0769,7.09734,22.1493,3.12079
-18.007,7.08588,22.209,3.13426
-17.9371,7.07444,22.2684,3.14773
-17.8671,7.063,22.3276,3.1612
-17.7972,7.05158,22.3864,3.17467
-17.7273,7.04016,22.445,3.18814
-17.6573,7.02875,22.5033,3.20161
-17.5874,7.01736,22.5614,3.21508
-17.5175,7.00597,22.6191,3.22855
-17.4476,6.99459,22.6766,3.24202
-17.3776,6.98322,22.7338,3.2555
-17.3077,6.97186,22.7908,3.26897
-17.2378,6.9605,22.8474,3.28244
-17.1678,6.94916,22.9038,3.29591
-17.0979,6.93783,22.9599,3.30938
-17.028,6.9265,23.0157,3.32285
-16.958,6.91519,23.0713,3.33632
-16.8881,6.90388,23.1266,3.34979
-16.8182,6.89259,23.1816,3.36326
-16.7483,6.8813,23.2363,3.37673
-16.6783,6.87002,23.2908,3.39021
-16.6084,6.85876,23.345,3.40368
-16.5385,6.8475,23.3989,3.41715
-16.4685,6.83625,23.4526,3.43062
-16.3986,6.82501,23.5059,3.44409
-16.3287,6.81377,23.559,3.45756
-16.2587,6.80255,23.6119,3.47103
-16.1888,6.79134,23.6644,3.4845
-16.1189,6.78014,23.7167,3.49797
-16.049,6.76894,23.7688,3.51144
-15.979,6.75776,23.8205,3.52491
-15.9091,6.74658,23.872,3.53839
-15.8392,6.73541,23.9232,3.55186
-15.7692,6.72426,23.9742,3.56533
-15.6993,6.71311,24.0249,3.5788
-15.6294,6.70197,24.0753,3.59227
-15.5594,6.69084,24.1254,3.60574
-15.4895,6.67972,24.1753,3.61921
-15.4196,6.66861,24.2249,3.63268
-15.3497,6.6575,24.2743,3.64615
-15.2797,6.64641,24.3234,3.65962
-15.2098,6.63533,24.3722,3.6731
-15.1399,6.62425,24.4208,3.68657
-15.0699,6.61319,24.469,3.70004
-15,6.60213,24.5171,3.71351
-14.9301,6.59109,24.5648,3.72698
-14.8601,6.58005,24.6123,3.74045
-14.7902,6.56902,24.6596,3.75392
-14.7203,6.558,24.7066,3.76739
-14.6503,6.54699,24.7533,3.78086
-14.5804,6.53599,24.7997,3.79433
-14.5105,6.525,24.8459,3.80781
-14.4406,6.51402,24.8919,3.82128
-14.3706,6.50305,24.9375,3.83475
-14.3007,6.49208,24.983,3.84822
-14.2308,6.48113,25.0281,3.86169
-14.1608,6.47019,25.073,3.87516
-14.0909,6.45925,25.1176,3.88863
-14.021,6.44832,25.162,3.9021
-13.951,6.43741,25.2061,3.91557
-13.8811,6.4265,25.25,3.92904
-13.8112,6.4156,25.2936,3.94251
-13.7413,6.40471,25.3369,3.95599
-13.6713,6.39383,25.38,3.96946
-13.6014,6.38296,25.4229,3.98293
-13.5315,6.3721,25.4654,3.9964
-13.4615,6.36125,25.5078,4.00987
-13.3916,6.3504,25.5498,4.02334
-13.3217,6.33957,25.5916,4.03681
-13.2517,6.32875,25.6332,4.05028
-13.1818,6.31793,25.6745,4.06375
-13.1119,6.30712,25.7156,4.07722
-13.042,6.29633,25.7564,4.0907
-12.972,6.28554,25.7969,4.10417
-12.9021,6.27476,25.8372,4.11764
-12.8322,6.26399,25.8772,4.13111
-12.7622,6.25323,25.917,4.14458
-12.6923,6.24248,25.9566,4.15805
-12.6224,6.23174,25.9958,4.17152
-12.5524,6.22101,26.0349,4.18499
-12.4825,6.21029,26.0737,4.19846
-12.4126,6.19957,26.1122,4.21193
-12.3427,6.18887,26.1505,4.2254
-12.2727,6.17817,26.1885,4.23888
